Temporada,Color,Estilo,Estampado,Escote,Longitud_manga,Corte,Material,Precio,Ventas
Invierno,Verde,Elegante,Generico,V,Sin mangas,Ajustado,Viscosa,$197.00,1000
Invierno,Blanco,Casual,Generico,Redondo,Manga corta,A línea,Tela tricotada,$175.00,100
Otoño,Verde,Elegante,Liso,V,Manga larga,Ajustado,Elastano,$312.00,10
Primavera,Amarillo,Vintage,Floral,Corazon,Manga corta,A línea,Poliuretano,$169.40,20
Primavera,Negro,Casual,Combinado,Camisero,Manga corta,Camisa,Algodón,$394.00,10
Verano,Rojo,Vintage,Combinado,Corazon,Media,Natural,Poliuretano,$308.00,1000
Invierno,Negro,Vintage,Floral,V,Manga larga,A línea,Poliuretano,$111.00,20
Verano,Gris,Vintage,Floral,Recto,Manga corta,A línea,Algodón,$252.00,10
Verano,Negro,Vintage,Floral,Recto,Manga larga,A línea,Poliuretano,$292.00,20
Primavera,Rojo,Vintage,Geometrico,Recto,Sin mangas,A línea,Algodón,$302.00,100
Verano,Negro,Casual,Geometrico,V,Sin mangas,Ajustado,Tela tricotada,$395.00,10
Verano,Azul,Casual,Geometrico,Redondo,Media,A línea,Poliamida,$207.00,30
Otoño,Azul,Vintage,Liso,V,Media,A línea,Poliamida,$289.50,1000
Primavera,Negro,Vintage,Floral,Recto,Manga corta,A línea,Algodón,$341.00,30
Verano,Rojo,Vintage,Floral,V,Media,A línea,Poliuretano,$190.00,300
Verano,Rojo,Casual,Combinado,Redondo,Manga corta,A línea,Poliuretano,$216.00,100
Verano,Negro,Casual,Geometrico,Corazon,Sin mangas,A línea,Poliuretano,$447.00,50
Otoño,Rosa,Casual,Floral,Corazon,Sin mangas,Tirantes,Algodón,$211.00,40
Verano,Rosa,Casual,Liso,Recto,Manga larga,A línea,Algodón,$183.00,50
Primavera,Multicolor,Vintage,Generico,Camisero,Manga larga,Camisa,Viscosa,$256.00,1000
Primavera,Azul,Vintage,Floral,Redondo,Sin mangas,Holgado,Poliuretano,$296.00,1000
Otoño,Negro,Casual,Liso,Redondo,Manga corta,Camisa,Elastano,$160.00,1000
Verano,Negro,Casual,Liso,Redondo,Manga larga,Camisa,Algodón,$117.00,20
Otoño,Verde,Casual,Liso,V,Manga larga,Ajustado,Poliamida,$236.00,1000
Primavera,Verde,Fiesta,Liso,Recto,Manga corta,Ajustado,Poliuretano,$303.00,10
Invierno,Azul,Casual,Liso,V,Sin mangas,A línea,Elastano,$368.90,10
Primavera,Blanco,Vintage,Combinado,V,Media,A línea,Poliamida,$390.15,10
Invierno,Azul,Vintage,Floral,V,Manga larga,A línea,Poliamida,$703.00,1000
Otoño,Naranja,Vintage,Floral,Alzado,Sin mangas,Tirantes,Algodón,$210.00,1000
Primavera,Naranja,Sexy,Liso,Corazon,Sin mangas,Ajustado,Poliamida,$234.00,60
Invierno,Cafe,Casual,Liso,Corazon,Sin mangas,A línea,Algodón,$187.00,1000
Otoño,Multicolor,Sexy,Combinado,Redondo,Sin mangas,Tirantes,Tela tricotada,$191.00,100
Verano,Negro,Casual,Liso,Redondo,Manga corta,Camisa,Algodón,$168.00,100
Invierno,Rosa,Vintage,Floral,Recto,Sin mangas,A línea,Poliuretano,$241.00,40
Otoño,Rojo,Vintage,Geometrico,Recto,Media,A línea,Poliuretano,$226.00,100
Verano,Azul,Casual,Geometrico,Redondo,Manga corta,Camisa,Poliamida,$81.00,200
Otoño,Multicolor,Vintage,Floral,Redondo,Sin mangas,Natural,Poliuretano,$388.00,90
Invierno,Verde,Casual,Liso,Camisero,Manga corta,Camisa,Viscosa,$215.00,100
Verano,Azul,Casual,Liso,Redondo,Sin mangas,Ajustado,Algodón,$228.00,1000
Invierno,Negro,Fiesta,Liso,Recto,Media,Ajustado,Poliuretano,$289.00,20
Verano,Negro,Elegante,Combinado,Redondo,Manga larga,A línea,Tela tricotada,$613.64,1000
Primavera,Verde,Casual,Combinado,Redondo,Sin mangas,Holgado,Tela tricotada,$455.00,10
Otoño,Cafe,Casual,Generico,Redondo,Manga larga,A línea,Algodón,$164.78,100
Otoño,Rojo,Sexy,Liso,V,Sin mangas,Natural,Tela tricotada,$289.00,20
Verano,Multicolor,Vintage,Combinado,Alzado,Sin mangas,A línea,Viscosa,$321.86,10
Primavera,Verde,Casual,Liso,V,Sin mangas,A línea,Tela tricotada,$286.00,20
Invierno,Multicolor,Vintage,Floral,Corazon,Sin mangas,Tirantes,Viscosa,$251.00,10
Invierno,Rojo,Sexy,Liso,Recto,Sin mangas,Natural,Algodón,$302.00,100
Invierno,Cafe,Sexy,Liso,Recto,Sin mangas,Tirantes,Poliuretano,$209.00,10
Invierno,Rosa,Elegante,Liso,Alzado,Sin mangas,A línea,Poliamida,$258.40,50
Otoño,Negro,Casual,Liso,Alzado,Sin mangas,Ajustado,Viscosa,$331.00,40
Verano,Multicolor,Vintage,Floral,V,Manga corta,A línea,Poliamida,$368.00,20
Invierno,Rosa,Elegante,Liso,Camisero,Manga corta,Natural,Algodón,$274.00,1000
Invierno,Multicolor,Elegante,Floral,Corazon,Media,A línea,Elastano,$162.00,100
Otoño,Rosa,Elegante,Liso,Redondo,Manga larga,A línea,Algodón,$361.00,1000
Otoño,Blanco,Casual,Combinado,V,Media,Camisa,Poliuretano,$232.05,10
Otoño,Azul,Fiesta,Liso,Asimetrico,Sin mangas,Ajustado,Algodón,$249.00,1000
Invierno,Multicolor,Elegante,Floral,Redondo,Sin mangas,Ajustado,Algodón,$221.00,80
Otoño,Multicolor,Vintage,Generico,V,Manga larga,Holgado,Viscosa,$414.00,1000
Otoño,Negro,Sexy,Liso,V,Manga larga,A línea,Viscosa,$221.00,1000
Primavera,Verde,Casual,Liso,Redondo,Manga corta,A línea,Poliuretano,$245.00,90
Otoño,Multicolor,Sexy,Floral,Alzado,Manga larga,Holgado,Algodón,$276.00,10
Invierno,Cafe,Casual,Generico,Alzado,Sin mangas,A línea,Algodón,$283.00,1000
Primavera,Verde,Casual,Liso,V,Manga corta,A línea,Algodón,$376.00,1000
Otoño,Blanco,Vintage,Floral,V,Media,Holgado,Elastano,$306.00,20
Invierno,Multicolor,Vintage,Floral,V,Sin mangas,A línea,Algodón,$185.00,40
Verano,Blanco,Casual,Liso,Recto,Sin mangas,A línea,Tela tricotada,$332.00,1000
Verano,Negro,Elegante,Combinado,Corazon,Media,Natural,Elastano,$374.40,200
Verano,Azul,Vintage,Floral,Redondo,Sin mangas,Natural,Poliamida,$422.00,30
Invierno,Negro,Casual,Generico,Corazon,Manga larga,A línea,Poliuretano,$395.00,1000
Verano,Azul,Casual,Geometrico,Camisero,Media,Natural,Tela tricotada,$276.00,50
Otoño,Naranja,Vintage,Liso,Corazon,Sin mangas,Tirantes,Poliuretano,$357.00,1000
Invierno,Multicolor,Casual,Generico,Asimetrico,Sin mangas,Tirantes,Elastano,$348.00,50
Invierno,Verde,Vintage,Floral,Corazon,Sin mangas,Tirantes,Algodón,$253.00,200
Invierno,Amarillo,Vintage,Floral,Redondo,Manga corta,A línea,Viscosa,$343.00,60
Invierno,Negro,Casual,Liso,Redondo,Sin mangas,Tirantes,Algodón,$261.00,10
Otoño,Verde,Casual,Combinado,Recto,Manga larga,Camisa,Viscosa,$260.26,1000
Invierno,Negro,Sexy,Liso,Corazon,Sin mangas,Natural,Poliamida,$378.00,1000
Otoño,Cafe,Casual,Liso,V,Manga corta,Ajustado,Viscosa,$176.00,1000
Primavera,Cafe,Elegante,Liso,Corazon,Sin mangas,Natural,Tela tricotada,$271.00,50
Invierno,Negro,Sexy,Liso,Redondo,Sin mangas,Tirantes,Algodón,$316.00,1000
Otoño,Multicolor,Vintage,Generico,V,Manga corta,A línea,Poliamida,$271.00,30
Primavera,Verde,Elegante,Liso,Camisero,Manga corta,Ajustado,Algodón,$175.80,10
Verano,Blanco,Vintage,Floral,Redondo,Manga corta,Natural,Poliuretano,$463.00,1000
Otoño,Azul,Casual,Liso,Redondo,Media,A línea,Algodón,$288.80,30
Otoño,Verde,Elegante,Liso,Alzado,Sin mangas,Ajustado,Algodón,$432.74,90
Invierno,Multicolor,Sexy,Geometrico,Redondo,Manga larga,Natural,Poliamida,$223.80,10
Invierno,Blanco,Casual,Floral,Redondo,Media,Generico,Poliuretano,$169.15,70
Verano,Negro,Casual,Liso,Camisero,Sin mangas,Tirantes,Algodón,$342.00,1000
Otoño,Multicolor,Vintage,Floral,Recto,Manga corta,A línea,Poliamida,$224.00,30
Otoño,Naranja,Casual,Geometrico,V,Sin mangas,Natural,Algodón,$343.20,80
Primavera,Negro,Elegante,Liso,Redondo,Sin mangas,Natural,Poliuretano,$176.00,100
Invierno,Cafe,Vintage,Liso,Redondo,Manga corta,A línea,Algodón,$245.00,10
Invierno,Multicolor,Casual,Combinado,Corazon,Manga corta,A línea,Algodón,$259.00,20
Verano,Negro,Casual,Floral,Corazon,Sin mangas,Natural,Poliuretano,$385.00,60
Invierno,Gris,Casual,Combinado,Corazon,Sin mangas,Ajustado,Poliamida,$327.00,1000
Invierno,Cafe,Vintage,Floral,Recto,Manga corta,Holgado,Poliuretano,$221.00,10
Verano,Rojo,Vintage,Liso,Redondo,Media,A línea,Viscosa,$112.00,1000
Otoño,Rosa,Sexy,Liso,Recto,Sin mangas,Ajustado,Algodón,$238.00,200
Verano,Cafe,Casual,Combinado,Corazon,Manga corta,A línea,Algodón,$820.00,10
Verano,Rosa,Vintage,Liso,Redondo,Media,Holgado,Poliuretano,$230.00,10
Verano,Azul,Vintage,Floral,Redondo,Sin mangas,Natural,Poliuretano,$584.00,1000
Primavera,Multicolor,Casual,Floral,Redondo,Manga corta,Camisa,Algodón,$265.00,100
Verano,Multicolor,Elegante,Floral,Recto,Sin mangas,A línea,Algodón,$204.00,200
Verano,Multicolor,Vintage,Floral,Redondo,Media,A línea,Poliamida,$306.00,1000
Otoño,Rojo,Elegante,Liso,Corazon,Manga corta,Natural,Elastano,$317.00,30
Otoño,Multicolor,Casual,Geometrico,Recto,Sin mangas,Holgado,Poliamida,$560.00,1000
Verano,Rojo,Vintage,Liso,Camisero,Manga larga,A línea,Viscosa,$332.40,1000
Primavera,Azul,Sexy,Combinado,Recto,Media,Ajustado,Tela tricotada,$279.00,70
Verano,Negro,Elegante,Liso,Recto,Sin mangas,Natural,Algodón,$280.00,1000
Invierno,Negro,Casual,Floral,Corazon,Sin mangas,Tirantes,Elastano,$285.00,1000
Otoño,Blanco,Vintage,Floral,V,Manga corta,A línea,Poliamida,$250.00,30
Verano,Rosa,Vintage,Floral,V,Media,A línea,Poliuretano,$357.00,20
Invierno,Multicolor,Casual,Generico,Recto,Sin mangas,A línea,Poliuretano,$299.00,100
Primavera,Blanco,Elegante,Combinado,Recto,Media,A línea,Poliamida,$466.00,60
Invierno,Verde,Fiesta,Liso,Alzado,Sin mangas,Ajustado,Elastano,$256.00,20
Primavera,Naranja,Vintage,Floral,Corazon,Manga corta,A línea,Tela tricotada,$390.00,1000
Invierno,Cafe,Casual,Liso,V,Manga corta,Natural,Algodón,$581.00,20
Invierno,Negro,Fiesta,Liso,Corazon,Sin mangas,Ajustado,Poliamida,$640.00,1000
Invierno,Negro,Elegante,Liso,Corazon,Manga corta,A línea,Elastano,$272.00,100
Verano,Blanco,Casual,Liso,Corazon,Sin mangas,A línea,Algodón,$294.00,1000
Primavera,Verde,Elegante,Liso,Camisero,Media,Ajustado,Poliamida,$497.00,20
Verano,Rojo,Sexy,Liso,Corazon,Sin mangas,Tirantes,Poliamida,$176.00,1000
Verano,Negro,Elegante,Liso,Redondo,Sin mangas,Ajustado,Algodón,$196.35,30
Primavera,Multicolor,Vintage,Generico,Redondo,Media,A línea,Algodón,$227.00,70
Verano,Verde,Casual,Liso,Asimetrico,Sin mangas,A línea,Algodón,$299.00,30
Otoño,Rojo,Casual,Combinado,Recto,Manga corta,A línea,Poliuretano,$157.00,1000
Primavera,Rosa,Elegante,Liso,V,Manga corta,Ajustado,Poliuretano,$300.76,40
Primavera,Multicolor,Casual,Combinado,Asimetrico,Manga larga,Natural,Poliamida,$367.00,20
Primavera,Multicolor,Elegante,Floral,Alzado,Manga larga,A línea,Algodón,$210.00,1000
Otoño,Multicolor,Vintage,Floral,Redondo,Media,Natural,Algodón,$290.00,1000
Primavera,Blanco,Casual,Combinado,Redondo,Media,Generico,Tela tricotada,$315.00,1000
Primavera,Multicolor,Vintage,Floral,Corazon,Sin mangas,Tirantes,Tela tricotada,$229.00,20
Invierno,Amarillo,Fiesta,Liso,V,Sin mangas,Tirantes,Viscosa,$427.00,10
Verano,Rojo,Casual,Liso,Redondo,Sin mangas,Tirantes,Algodón,$308.00,1000
Verano,Multicolor,Elegante,Generico,Redondo,Media,Camisa,Poliamida,$360.00,1000
Invierno,Verde,Vintage,Floral,V,Manga larga,A línea,Poliamida,$332.00,100
Primavera,Verde,Casual,Liso,Redondo,Manga corta,Ajustado,Tela tricotada,$613.00,1000
Verano,Naranja,Casual,Liso,V,Manga corta,A línea,Poliamida,$746.10,40
Primavera,Rosa,Elegante,Liso,V,Manga corta,A línea,Tela tricotada,$228.00,40
Verano,Blanco,Casual,Combinado,V,Sin mangas,A línea,Elastano,$179.55,1000
Primavera,Verde,Vintage,Geometrico,Redondo,Sin mangas,Tirantes,Poliuretano,$157.00,200
Primavera,Negro,Sexy,Generico,Corazon,Manga corta,Ajustado,Viscosa,$354.00,1000
Primavera,Azul,Sexy,Liso,Corazon,Sin mangas,Natural,Viscosa,$282.00,20
Otoño,Blanco,Casual,Floral,Redondo,Sin mangas,Tirantes,Poliamida,$502.00,1000
Verano,Multicolor,Casual,Combinado,Recto,Manga larga,Ajustado,Poliuretano,$289.00,300
Invierno,Multicolor,Elegante,Floral,Alzado,Sin mangas,A línea,Elastano,$198.00,20
Invierno,Multicolor,Casual,Combinado,Asimetrico,Sin mangas,Tirantes,Poliuretano,$312.80,20
Primavera,Negro,Elegante,Liso,Corazon,Manga larga,Holgado,Algodón,$259.00,50
Verano,Azul,Casual,Generico,V,Media,A línea,Poliuretano,$220.00,30
Otoño,Morado,Casual,Liso,Recto,Manga corta,Natural,Poliuretano,$396.00,30
Verano,Rojo,Vintage,Geometrico,Redondo,Sin mangas,Tirantes,Poliuretano,$270.00,30
Verano,Negro,Vintage,Combinado,Corazon,Sin mangas,Tirantes,Poliamida,$214.83,300
Primavera,Multicolor,Casual,Combinado,V,Manga corta,Holgado,Poliuretano,$486.00,40
Primavera,Negro,Vintage,Generico,Corazon,Media,Ajustado,Poliuretano,$270.00,200
Primavera,Blanco,Vintage,Combinado,Redondo,Media,Generico,Algodón,$339.00,30
Verano,Azul,Casual,Liso,V,Sin mangas,Tirantes,Algodón,$389.62,40
Invierno,Negro,Casual,Liso,Camisero,Media,Natural,Algodón,$403.00,100
Invierno,Amarillo,Sexy,Liso,Recto,Media,A línea,Poliuretano,$333.00,1000
Primavera,Negro,Casual,Liso,Camisero,Sin mangas,Tirantes,Elastano,$696.00,1000
Verano,Verde,Vintage,Floral,Recto,Manga corta,A línea,Tela tricotada,$203.00,40
Invierno,Azul,Vintage,Floral,Camisero,Media,A línea,Elastano,$287.00,1000
Primavera,Rojo,Elegante,Floral,Redondo,Manga corta,A línea,Viscosa,$292.00,50
Otoño,Azul,Casual,Combinado,Recto,Sin mangas,Natural,Poliuretano,$362.00,50
Otoño,Rojo,Fiesta,Liso,Recto,Manga larga,A línea,Poliamida,$313.39,10
Primavera,Rosa,Elegante,Liso,Recto,Sin mangas,Natural,Viscosa,$301.00,1000
Primavera,Multicolor,Elegante,Floral,Recto,Media,A línea,Poliamida,$132.00,90
Primavera,Verde,Vintage,Floral,V,Manga corta,A línea,Viscosa,$642.00,1000
Verano,Rojo,Sexy,Liso,Corazon,Manga larga,A línea,Algodón,$332.00,1000
Primavera,Multicolor,Vintage,Generico,Redondo,Media,Natural,Poliamida,$267.00,80
Verano,Negro,Sexy,Liso,Redondo,Manga larga,Ajustado,Elastano,$314.00,10
Invierno,Cafe,Elegante,Liso,Corazon,Manga larga,Ajustado,Poliuretano,$316.00,200
Otoño,Rosa,Vintage,Combinado,Asimetrico,Media,Holgado,Poliuretano,$455.00,40
Invierno,Rosa,Elegante,Liso,Camisero,Media,A línea,Poliuretano,$246.50,10
Otoño,Rosa,Elegante,Liso,Corazon,Sin mangas,Tirantes,Poliuretano,$272.00,60
Otoño,Rosa,Elegante,Liso,Redondo,Manga corta,Ajustado,Poliuretano,$174.00,20
Primavera,Verde,Vintage,Liso,Recto,Manga corta,A línea,Poliamida,$713.00,1000
Otoño,Rosa,Vintage,Floral,Redondo,Manga corta,A línea,Algodón,$675.00,1000
Invierno,Rosa,Vintage,Floral,Redondo,Media,Holgado,Poliuretano,$309.00,80
Verano,Blanco,Sexy,Liso,V,Manga larga,Ajustado,Elastano,$220.00,1000
Primavera,Rojo,Casual,Liso,Corazon,Sin mangas,Tirantes,Elastano,$172.00,1000
Invierno,Verde,Vintage,Floral,Camisero,Sin mangas,Tirantes,Poliamida,$344.00,10
Otoño,Azul,Vintage,Geometrico,V,Sin mangas,A línea,Elastano,$271.00,70
Otoño,Gris,Casual,Liso,Camisero,Sin mangas,A línea,Tela tricotada,$410.00,100
Verano,Verde,Elegante,Liso,Camisero,Media,Natural,Algodón,$310.00,80
Otoño,Rosa,Casual,Liso,V,Manga larga,A línea,Algodón,$196.00,40
Otoño,Azul,Vintage,Floral,Redondo,Manga corta,Ajustado,Algodón,$110.11,40
Invierno,Amarillo,Vintage,Liso,Recto,Manga corta,A línea,Algodón,$735.00,1000
Otoño,Naranja,Casual,Liso,Recto,Manga corta,Natural,Algodón,$295.00,30
Invierno,Negro,Casual,Liso,V,Media,Generico,Tela tricotada,$337.99,50
Verano,Rojo,Elegante,Liso,Recto,Manga larga,Natural,Tela tricotada,$253.31,12
Otoño,Naranja,Elegante,Liso,Corazon,Sin mangas,Ajustado,Poliamida,$99.75,20
Otoño,Negro,Elegante,Liso,V,Sin mangas,Ajustado,Algodón,$209.00,30
Invierno,Verde,Casual,Liso,Alzado,Sin mangas,Tirantes,Poliuretano,$396.00,20
Primavera,Rosa,Sexy,Liso,Recto,Sin mangas,Natural,Elastano,$323.40,30
Verano,Negro,Sexy,Liso,Redondo,Manga larga,Ajustado,Poliuretano,$308.00,10
Primavera,Rosa,Elegante,Generico,Corazon,Media,Holgado,Tela tricotada,$223.00,100
Primavera,Azul,Vintage,Floral,Redondo,Manga corta,A línea,Poliamida,$224.00,200
Invierno,Rosa,Vintage,Floral,Redondo,Sin mangas,Tirantes,Elastano,$170.40,300
Invierno,Multicolor,Casual,Combinado,V,Sin mangas,Tirantes,Algodón,$468.00,1000
Invierno,Multicolor,Elegante,Combinado,V,Sin mangas,A línea,Algodón,$319.00,1000
Primavera,Blanco,Casual,Liso,Corazon,Media,Generico,Poliuretano,$269.00,10
Otoño,Multicolor,Casual,Combinado,V,Sin mangas,Ajustado,Poliamida,$238.00,1000
Verano,Negro,Elegante,Liso,Asimetrico,Media,A línea,Poliamida,$461.00,1000
Primavera,Rosa,Casual,Liso,V,Manga corta,A línea,Algodón,$460.00,100
Primavera,Blanco,Elegante,Liso,Alzado,Sin mangas,Ajustado,Algodón,$388.08,20
Verano,Negro,Vintage,Generico,V,Manga corta,A línea,Algodón,$222.00,100
Primavera,Rosa,Sexy,Generico,Alzado,Sin mangas,Ajustado,Poliuretano,$393.75,40
Otoño,Negro,Vintage,Generico,Alzado,Sin mangas,A línea,Algodón,$218.00,80
Primavera,Negro,Vintage,Floral,Alzado,Sin mangas,Tirantes,Poliuretano,$220.00,30
Otoño,Multicolor,Casual,Liso,Redondo,Sin mangas,Natural,Algodón,$349.00,30
Verano,Verde,Casual,Geometrico,Recto,Media,Natural,Poliamida,$278.00,1000
Primavera,Rojo,Elegante,Liso,Redondo,Manga corta,A línea,Poliuretano,$234.00,40
Invierno,Blanco,Casual,Liso,V,Sin mangas,Holgado,Poliuretano,$243.00,1000
Verano,Azul,Vintage,Floral,Redondo,Sin mangas,Tirantes,Algodón,$186.00,1000
Otoño,Azul,Elegante,Liso,Recto,Manga corta,A línea,Poliamida,$575.10,50
Verano,Azul,Casual,Floral,V,Media,A línea,Algodón,$210.00,1000
Invierno,Rojo,Casual,Combinado,Corazon,Sin mangas,Natural,Algodón,$702.00,1000
Otoño,Blanco,Casual,Generico,Asimetrico,Manga larga,Holgado,Poliuretano,$816.00,1000
Otoño,Verde,Casual,Liso,Redondo,Manga corta,A línea,Algodón,$530.00,1000
Otoño,Naranja,Vintage,Liso,Redondo,Sin mangas,Holgado,Algodón,$164.00,10
Invierno,Azul,Casual,Liso,Redondo,Sin mangas,Holgado,Algodón,$301.00,1000
Verano,Blanco,Casual,Floral,Alzado,Media,Generico,Poliamida,$175.00,10
Otoño,Azul,Casual,Liso,Recto,Manga corta,A línea,Poliamida,$186.00,10
Primavera,Amarillo,Casual,Liso,V,Sin mangas,Tirantes,Poliuretano,$486.00,1000
Invierno,Negro,Vintage,Liso,V,Sin mangas,Ajustado,Algodón,$190.00,20
Invierno,Azul,Vintage,Floral,V,Media,A línea,Poliuretano,$448.00,1000
Invierno,Multicolor,Fiesta,Liso,Recto,Media,A línea,Poliuretano,$266.00,20
Primavera,Naranja,Vintage,Floral,Camisero,Manga larga,Camisa,Viscosa,$184.00,10
Primavera,Azul,Elegante,Liso,Corazon,Manga corta,Ajustado,Poliamida,$239.00,1000
Verano,Rosa,Vintage,Liso,Alzado,Sin mangas,Tirantes,Algodón,$306.00,1000
Verano,Azul,Vintage,Floral,V,Sin mangas,Tirantes,Poliamida,$798.00,1000
Verano,Negro,Casual,Liso,V,Manga corta,Holgado,Algodón,$337.00,90
Otoño,Rosa,Elegante,Liso,V,Manga corta,Natural,Poliuretano,$840.00,70
Invierno,Rosa,Casual,Combinado,V,Media,Holgado,Poliuretano,$229.00,50
Primavera,Cafe,Casual,Combinado,V,Manga corta,A línea,Algodón,$662.00,1000
Otoño,Multicolor,Casual,Generico,Alzado,Sin mangas,A línea,Viscosa,$190.96,60
Invierno,Rojo,Casual,Liso,Redondo,Sin mangas,Ajustado,Viscosa,$442.80,100
Primavera,Cafe,Sexy,Liso,V,Manga corta,Ajustado,Algodón,$386.00,30
Invierno,Azul,Casual,Geometrico,Camisero,Manga corta,Camisa,Poliuretano,$220.00,60
Primavera,Cafe,Casual,Liso,Redondo,Media,Ajustado,Poliuretano,$264.47,10
Otoño,Blanco,Casual,Liso,Corazon,Manga corta,A línea,Poliamida,$195.00,50
Otoño,Azul,Vintage,Floral,Asimetrico,Sin mangas,Tirantes,Poliuretano,$382.20,1000
Verano,Multicolor,Casual,Geometrico,Camisero,Manga corta,Camisa,Poliamida,$233.00,1000
Invierno,Azul,Vintage,Floral,Alzado,Manga larga,A línea,Algodón,$428.00,1000
Verano,Multicolor,Vintage,Combinado,Recto,Manga larga,Holgado,Viscosa,$334.00,1000
Primavera,Rosa,Casual,Liso,Corazon,Media,Holgado,Tela tricotada,$283.00,1000
Otoño,Negro,Elegante,Liso,Alzado,Manga larga,Ajustado,Poliuretano,$158.00,200
Verano,Multicolor,Sexy,Combinado,V,Sin mangas,Ajustado,Elastano,$234.00,80
Invierno,Verde,Casual,Liso,V,Manga corta,Ajustado,Algodón,$547.50,60
Invierno,Multicolor,Casual,Combinado,Alzado,Sin mangas,Ajustado,Algodón,$330.00,80
Otoño,Multicolor,Vintage,Floral,Redondo,Sin mangas,Tirantes,Algodón,$430.50,1000
Verano,Azul,Elegante,Liso,Camisero,Manga larga,A línea,Tela tricotada,$344.00,1000
Otoño,Cafe,Sexy,Generico,V,Manga larga,Ajustado,Algodón,$407.00,1000
Verano,Multicolor,Vintage,Floral,Corazon,Manga corta,A línea,Poliuretano,$550.00,40
Invierno,Rojo,Vintage,Geometrico,Recto,Media,A línea,Algodón,$732.00,1000
Verano,Verde,Sexy,Liso,Redondo,Sin mangas,Ajustado,Tela tricotada,$219.30,1000
Otoño,Rojo,Vintage,Geometrico,Corazon,Manga corta,Camisa,Algodón,$174.00,100
Primavera,Negro,Casual,Liso,Redondo,Sin mangas,Ajustado,Algodón,$337.00,1000
Otoño,Azul,Casual,Geometrico,V,Sin mangas,A línea,Elastano,$176.00,200
Otoño,Verde,Casual,Liso,V,Manga corta,A línea,Poliuretano,$271.00,10
Primavera,Morado,Fiesta,Liso,V,Manga larga,A línea,Viscosa,$130.13,100
Otoño,Negro,Vintage,Floral,Redondo,Media,Natural,Elastano,$503.00,1000
Invierno,Blanco,Casual,Liso,Asimetrico,Manga corta,A línea,Algodón,$421.00,10
Verano,Rojo,Casual,Liso,Recto,Manga corta,A línea,Algodón,$201.60,300
Otoño,Cafe,Vintage,Floral,Redondo,Sin mangas,Tirantes,Viscosa,$422.00,40
Invierno,Cafe,Casual,Liso,Corazon,Manga larga,Holgado,Poliuretano,$508.97,1000
Verano,Multicolor,Vintage,Floral,Alzado,Media,Ajustado,Poliuretano,$322.00,1000
Primavera,Verde,Sexy,Liso,Camisero,Sin mangas,Tirantes,Algodón,$312.00,1000
Otoño,Rosa,Elegante,Liso,Redondo,Manga larga,A línea,Poliamida,$402.00,1000
Verano,Azul,Elegante,Liso,Recto,Manga larga,A línea,Algodón,$220.00,80
Otoño,Negro,Casual,Generico,Redondo,Manga larga,A línea,Poliuretano,$476.00,20
Invierno,Amarillo,Vintage,Liso,V,Manga larga,A línea,Poliuretano,$327.00,30
Verano,Amarillo,Vintage,Floral,V,Manga larga,Holgado,Viscosa,$196.00,1000
Verano,Cafe,Vintage,Floral,V,Manga corta,A línea,Poliuretano,$274.00,1000
Invierno,Multicolor,Elegante,Floral,Redondo,Sin mangas,Ajustado,Poliuretano,$464.00,1000
Invierno,Multicolor,Sexy,Generico,Redondo,Sin mangas,A línea,Poliuretano,$282.00,30
Invierno,Verde,Casual,Liso,Corazon,Media,Camisa,Poliuretano,$309.00,30
Verano,Cafe,Casual,Liso,Asimetrico,Manga larga,A línea,Poliamida,$231.00,1000
Primavera,Multicolor,Vintage,Floral,Camisero,Media,Natural,Poliamida,$308.00,1000
Otoño,Multicolor,Vintage,Floral,Redondo,Media,A línea,Poliuretano,$254.00,1000
Otoño,Multicolor,Casual,Combinado,Asimetrico,Media,Natural,Elastano,$324.00,30
Otoño,Negro,Vintage,Floral,Redondo,Sin mangas,Tirantes,Tela tricotada,$171.00,50
Invierno,Cafe,Casual,Liso,V,Media,A línea,Poliuretano,$283.00,1000
Otoño,Cafe,Elegante,Liso,V,Manga larga,Ajustado,Viscosa,$220.00,20
Otoño,Naranja,Casual,Floral,Recto,Manga larga,A línea,Algodón,$253.00,400
Otoño,Blanco,Elegante,Combinado,Redondo,Media,A línea,Tela tricotada,$364.00,1000
Primavera,Rojo,Fiesta,Liso,Asimetrico,Manga larga,Ajustado,Poliuretano,$788.00,20
Invierno,Rojo,Elegante,Floral,Camisero,Manga corta,Camisa,Algodón,$166.00,1000
Otoño,Multicolor,Casual,Combinado,Redondo,Manga corta,A línea,Algodón,$220.00,1000
Invierno,Negro,Elegante,Liso,Corazon,Sin mangas,Ajustado,Tela tricotada,$658.00,1000
Primavera,Morado,Casual,Liso,Redondo,Manga larga,Tirantes,Algodón,$197.16,10
Invierno,Verde,Elegante,Liso,Corazon,Media,Ajustado,Algodón,$132.00,50
Verano,Verde,Elegante,Liso,Recto,Manga larga,A línea,Elastano,$285.12,10
Otoño,Multicolor,Casual,Generico,V,Manga larga,Camisa,Poliuretano,$231.77,60
Otoño,Multicolor,Vintage,Generico,V,Manga corta,A línea,Algodón,$424.00,1000
Otoño,Azul,Vintage,Floral,Corazon,Manga corta,Ajustado,Viscosa,$282.00,1000
Primavera,Negro,Sexy,Liso,Corazon,Sin mangas,Ajustado,Algodón,$337.00,1000
Verano,Negro,Elegante,Geometrico,V,Media,Natural,Poliuretano,$228.80,80
